,API,F0,cf_high,cf_low,code,decoding_type,delta_theta,dur,dur_ramp,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
12,[0.],263.567553364268,2899.243087006948,1317.83776682134,exp1b,AI,[0.001],0.1,0.01,200000.0,31.117958542971323,Zilany2014,Zilany2014,40.0,51.0,20.0,0.0010458635596735102,none
13,[0.],263.567553364268,2899.243087006948,1317.83776682134,exp1b,AI,[0.001],0.1,0.01,200000.0,41.11795854297132,Zilany2014,Zilany2014,40.0,51.0,30.0,0.0009073093588287408,none
14,[0.],263.567553364268,2899.243087006948,1317.83776682134,exp1b,AI,[0.001],0.1,0.01,200000.0,51.11795854297132,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0008500713370938859,none
15,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,exp1b,AI,[0.001],0.1,0.01,200000.0,30.998772224359527,Zilany2014,Zilany2014,40.0,51.0,20.0,0.001211094280899973,none
16,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,exp1b,AI,[0.001],0.1,0.01,200000.0,40.99877222435953,Zilany2014,Zilany2014,40.0,51.0,30.0,0.0010634709924679058,none
17,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,exp1b,AI,[0.001],0.1,0.01,200000.0,50.99877222435953,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0010086046848468845,none
18,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,exp1b,AI,[0.001],0.1,0.01,200000.0,30.083532269431913,Zilany2014,Zilany2014,40.0,51.0,20.0,0.0015001582606624507,none
19,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,exp1b,AI,[0.001],0.1,0.01,200000.0,40.08353226943191,Zilany2014,Zilany2014,40.0,51.0,30.0,0.0013103078812357403,none
20,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,exp1b,AI,[0.001],0.1,0.01,200000.0,50.08353226943191,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0012004581535616343,none
21,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,exp1b,AI,[0.001],0.1,0.01,200000.0,28.700873207735263,Zilany2014,Zilany2014,40.0,51.0,20.0,0.0018904097612082254,none
22,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,exp1b,AI,[0.001],0.1,0.01,200000.0,38.70087320773526,Zilany2014,Zilany2014,40.0,51.0,30.0,0.0016734757206376362,none
23,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,exp1b,AI,[0.001],0.1,0.01,200000.0,48.70087320773526,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0015735809987216813,none
24,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,exp1b,AI,[0.001],0.1,0.01,200000.0,27.243707257190316,Zilany2014,Zilany2014,40.0,51.0,20.0,0.0023853178039926312,none
25,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,exp1b,AI,[0.001],0.1,0.01,200000.0,37.243707257190316,Zilany2014,Zilany2014,40.0,51.0,30.0,0.0021407986010111087,none
26,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,exp1b,AI,[0.001],0.1,0.01,200000.0,47.243707257190316,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0019954674270925687,none
