,API,F0,cf_high,cf_low,code,decoding_type,delta_theta,dur,dur_ramp,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
27,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,exp1b,RP,[0.001],0.1,0.01,200000.0,25.825346609990415,Zilany2014,Zilany2014,40.0,51.0,20.0,0.3231179069155013,none
28,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,exp1b,RP,[0.001],0.1,0.01,200000.0,35.82534660999041,Zilany2014,Zilany2014,40.0,51.0,30.0,0.47230154784094985,none
29,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,exp1b,RP,[0.001],0.1,0.01,200000.0,45.82534660999041,Zilany2014,Zilany2014,40.0,51.0,40.0,0.6724558437328042,none
30,[0.],480.27813534169,5283.05948875859,2401.39067670845,exp1b,RP,[0.001],0.1,0.01,200000.0,24.396579551198933,Zilany2014,Zilany2014,40.0,51.0,20.0,0.33072366938502146,none
31,[0.],480.27813534169,5283.05948875859,2401.39067670845,exp1b,RP,[0.001],0.1,0.01,200000.0,34.39657955119893,Zilany2014,Zilany2014,40.0,51.0,30.0,0.49844572715722024,none
32,[0.],480.27813534169,5283.05948875859,2401.39067670845,exp1b,RP,[0.001],0.1,0.01,200000.0,44.39657955119893,Zilany2014,Zilany2014,40.0,51.0,40.0,0.710029809444308,none
33,[0.],530.7943535236503,5838.7378887601535,2653.9717676182518,exp1b,RP,[0.001],0.1,0.01,200000.0,22.96831848683961,Zilany2014,Zilany2014,40.0,51.0,20.0,0.33570152905574896,none
34,[0.],530.7943535236503,5838.7378887601535,2653.9717676182518,exp1b,RP,[0.001],0.1,0.01,200000.0,32.96831848683961,Zilany2014,Zilany2014,40.0,51.0,30.0,0.5103134331095721,none
35,[0.],530.7943535236503,5838.7378887601535,2653.9717676182518,exp1b,RP,[0.001],0.1,0.01,200000.0,42.96831848683961,Zilany2014,Zilany2014,40.0,51.0,40.0,0.7451854217073615,none
36,[0.],586.6239268463596,6452.863195309956,2933.119634231798,exp1b,RP,[0.001],0.1,0.01,200000.0,21.603993096175458,Zilany2014,Zilany2014,40.0,51.0,20.0,0.3432198446337787,none
37,[0.],586.6239268463596,6452.863195309956,2933.119634231798,exp1b,RP,[0.001],0.1,0.01,200000.0,31.603993096175458,Zilany2014,Zilany2014,40.0,51.0,30.0,0.5181480146703572,none
38,[0.],586.6239268463596,6452.863195309956,2933.119634231798,exp1b,RP,[0.001],0.1,0.01,200000.0,41.60399309617546,Zilany2014,Zilany2014,40.0,51.0,40.0,0.7829909459324612,none
39,[0.],648.3257202420679,7131.582922662747,3241.628601210339,exp1b,RP,[0.001],0.1,0.01,200000.0,20.506141534002488,Zilany2014,Zilany2014,40.0,51.0,20.0,0.3522294617538041,none
40,[0.],648.3257202420679,7131.582922662747,3241.628601210339,exp1b,RP,[0.001],0.1,0.01,200000.0,30.506141534002488,Zilany2014,Zilany2014,40.0,51.0,30.0,0.5443061610423391,none
