,API,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,freq,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,phase,result,roving_type
30,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",5763.337624100281,1921.11254136676,AI,[0.001 0.001],0.1,0.01,3842.22508273352,500000.0,37.52872377209741,Heinz2001,Heinz2001,40.0,40.0,20.0,[92.02399845],0.21974158223109377,phase
31,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",5763.337624100281,1921.11254136676,AI,[0.001 0.001],0.1,0.01,3842.22508273352,500000.0,47.52872377209741,Heinz2001,Heinz2001,40.0,40.0,30.0,[328.22595874],0.16947921768937435,phase
32,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",5763.337624100281,1921.11254136676,AI,[0.001 0.001],0.1,0.01,3842.22508273352,500000.0,57.52872377209741,Heinz2001,Heinz2001,40.0,40.0,40.0,[49.70535776],0.13940802913881375,phase
33,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",6369.5322422838035,2123.1774140946013,AI,[0.001 0.001],0.1,0.01,4246.354828189203,500000.0,37.692465385188825,Heinz2001,Heinz2001,40.0,40.0,20.0,[66.54727175],0.2939304035956367,phase
34,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",6369.5322422838035,2123.1774140946013,AI,[0.001 0.001],0.1,0.01,4246.354828189203,500000.0,47.692465385188825,Heinz2001,Heinz2001,40.0,40.0,30.0,[239.88781234],0.22804273848283058,phase
35,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",6369.5322422838035,2123.1774140946013,AI,[0.001 0.001],0.1,0.01,4246.354828189203,500000.0,57.692465385188825,Heinz2001,Heinz2001,40.0,40.0,40.0,[189.35821273],0.18782898136416906,phase
36,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",7039.487122156315,2346.4957073854384,AI,[0.001 0.001],0.1,0.01,4692.991414770877,500000.0,37.80056044509692,Heinz2001,Heinz2001,40.0,40.0,20.0,[295.01261985],0.4073205674927494,phase
37,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",7039.487122156315,2346.4957073854384,AI,[0.001 0.001],0.1,0.01,4692.991414770877,500000.0,47.80056044509692,Heinz2001,Heinz2001,40.0,40.0,30.0,[297.96618564],0.31704798431577574,phase
38,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",7039.487122156315,2346.4957073854384,AI,[0.001 0.001],0.1,0.01,4692.991414770877,500000.0,57.80056044509692,Heinz2001,Heinz2001,40.0,40.0,40.0,[61.85276301],0.26131990772645414,phase
39,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",7779.908642904815,2593.3028809682714,AI,[0.001 0.001],0.1,0.01,5186.605761936543,500000.0,37.869024043681044,Heinz2001,Heinz2001,40.0,40.0,20.0,[254.41703771],0.5843906931054553,phase
40,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",7779.908642904815,2593.3028809682714,AI,[0.001 0.001],0.1,0.01,5186.605761936543,500000.0,47.869024043681044,Heinz2001,Heinz2001,40.0,40.0,30.0,[23.6838957],0.45573909227997506,phase
41,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",7779.908642904815,2593.3028809682714,AI,[0.001 0.001],0.1,0.01,5186.605761936543,500000.0,57.869024043681044,Heinz2001,Heinz2001,40.0,40.0,40.0,[245.04284149],0.3755817473501209,phase
42,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",8598.208568553291,2866.069522851097,AI,[0.001 0.001],0.1,0.01,5732.139045702194,500000.0,37.90565767089101,Heinz2001,Heinz2001,40.0,40.0,20.0,[174.97978029],0.8672161588669585,phase
