,API,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,freq,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,phase,result,roving_type
30,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",5763.337624100281,1921.11254136676,AI,[0.001 0.001],0.1,0.01,3842.22508273352,200000.0,24.396579551198933,Zilany2014,Zilany2014,40.0,40.0,20.0,[151.9713618],0.4806988132124452,phase
31,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",5763.337624100281,1921.11254136676,AI,[0.001 0.001],0.1,0.01,3842.22508273352,200000.0,34.39657955119893,Zilany2014,Zilany2014,40.0,40.0,30.0,[15.33929742],0.36523897939188604,phase
32,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",5763.337624100281,1921.11254136676,AI,[0.001 0.001],0.1,0.01,3842.22508273352,200000.0,44.39657955119893,Zilany2014,Zilany2014,40.0,40.0,40.0,[81.03665731],0.2785132378639921,phase
33,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",6369.5322422838035,2123.1774140946013,AI,[0.001 0.001],0.1,0.01,4246.354828189203,200000.0,22.96831848683961,Zilany2014,Zilany2014,40.0,40.0,20.0,[328.36411488],0.7029910918062074,phase
34,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",6369.5322422838035,2123.1774140946013,AI,[0.001 0.001],0.1,0.01,4246.354828189203,200000.0,32.96831848683961,Zilany2014,Zilany2014,40.0,40.0,30.0,[324.23108415],0.5368948157940993,phase
35,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",6369.5322422838035,2123.1774140946013,AI,[0.001 0.001],0.1,0.01,4246.354828189203,200000.0,42.96831848683961,Zilany2014,Zilany2014,40.0,40.0,40.0,[162.80031191],0.40349307086542546,phase
36,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",7039.487122156315,2346.4957073854384,AI,[0.001 0.001],0.1,0.01,4692.991414770877,200000.0,21.603993096175458,Zilany2014,Zilany2014,40.0,40.0,20.0,[49.13280829],1.0177123198176226,phase
37,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",7039.487122156315,2346.4957073854384,AI,[0.001 0.001],0.1,0.01,4692.991414770877,200000.0,31.603993096175458,Zilany2014,Zilany2014,40.0,40.0,30.0,[137.42717802],0.7744348322510922,phase
38,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",7039.487122156315,2346.4957073854384,AI,[0.001 0.001],0.1,0.01,4692.991414770877,200000.0,41.60399309617546,Zilany2014,Zilany2014,40.0,40.0,40.0,[182.19594475],0.5851103633348413,phase
39,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",7779.908642904815,2593.3028809682714,AI,[0.001 0.001],0.1,0.01,5186.605761936543,200000.0,20.506141534002488,Zilany2014,Zilany2014,40.0,40.0,20.0,[247.10670916],1.429464575701647,phase
40,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",7779.908642904815,2593.3028809682714,AI,[0.001 0.001],0.1,0.01,5186.605761936543,200000.0,30.506141534002488,Zilany2014,Zilany2014,40.0,40.0,30.0,[145.29349273],1.0968091227705579,phase
41,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",7779.908642904815,2593.3028809682714,AI,[0.001 0.001],0.1,0.01,5186.605761936543,200000.0,40.50614153400249,Zilany2014,Zilany2014,40.0,40.0,40.0,[202.53390566],0.8154496607781107,phase
42,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",8598.208568553291,2866.069522851097,AI,[0.001 0.001],0.1,0.01,5732.139045702194,200000.0,19.87458796405344,Zilany2014,Zilany2014,40.0,40.0,20.0,[252.54310423],1.8495432234389515,phase
43,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",8598.208568553291,2866.069522851097,AI,[0.001 0.001],0.1,0.01,5732.139045702194,200000.0,29.87458796405344,Zilany2014,Zilany2014,40.0,40.0,30.0,[33.76292641],1.4241207848082555,phase
44,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",8598.208568553291,2866.069522851097,AI,[0.001 0.001],0.1,0.01,5732.139045702194,200000.0,39.87458796405344,Zilany2014,Zilany2014,40.0,40.0,40.0,[281.9963144],1.0973558058592046,phase
45,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",9502.578241168148,3167.526080389383,AI,[0.001 0.001],0.1,0.01,6335.052160778766,200000.0,19.636352236832014,Zilany2014,Zilany2014,40.0,40.0,20.0,[60.92229883],2.2724961190368904,phase
46,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",9502.578241168148,3167.526080389383,AI,[0.001 0.001],0.1,0.01,6335.052160778766,200000.0,29.636352236832014,Zilany2014,Zilany2014,40.0,40.0,30.0,[151.39357685],1.9249155105901241,phase
47,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",9502.578241168148,3167.526080389383,AI,[0.001 0.001],0.1,0.01,6335.052160778766,200000.0,39.63635223683202,Zilany2014,Zilany2014,40.0,40.0,40.0,[192.35729718],1.7097946047020443,phase
48,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",10502.070577791961,3500.69019259732,AI,[0.001 0.001],0.1,0.01,7001.38038519464,200000.0,19.7611214338582,Zilany2014,Zilany2014,40.0,40.0,20.0,[274.78782021],2.7256104674075026,phase
49,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",10502.070577791961,3500.69019259732,AI,[0.001 0.001],0.1,0.01,7001.38038519464,200000.0,29.7611214338582,Zilany2014,Zilany2014,40.0,40.0,30.0,[272.59199719],2.6806020085308475,phase
50,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",10502.070577791961,3500.69019259732,AI,[0.001 0.001],0.1,0.01,7001.38038519464,200000.0,39.7611214338582,Zilany2014,Zilany2014,40.0,40.0,40.0,[349.07392615],2.6146471472083546,phase
51,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",11606.690691911128,3868.8968973037095,AI,[0.001 0.001],0.1,0.01,7737.793794607419,200000.0,20.695837741874442,Zilany2014,Zilany2014,40.0,40.0,20.0,[205.15814991],3.350679459972283,phase
52,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",11606.690691911128,3868.8968973037095,AI,[0.001 0.001],0.1,0.01,7737.793794607419,200000.0,30.695837741874442,Zilany2014,Zilany2014,40.0,40.0,30.0,[85.78618531],3.344550537874789,phase
53,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",11606.690691911128,3868.8968973037095,AI,[0.001 0.001],0.1,0.01,7737.793794607419,200000.0,40.69583774187444,Zilany2014,Zilany2014,40.0,40.0,40.0,[226.09286306],3.5529898236637827,phase
54,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",12827.49604659581,4275.832015531937,AI,[0.001 0.001],0.1,0.01,8551.664031063874,200000.0,22.677518294872545,Zilany2014,Zilany2014,40.0,40.0,20.0,[101.49470002],3.616528072104425,phase
55,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",12827.49604659581,4275.832015531937,AI,[0.001 0.001],0.1,0.01,8551.664031063874,200000.0,32.67751829487255,Zilany2014,Zilany2014,40.0,40.0,30.0,[2.0853502],4.1836266785893805,phase
56,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",12827.49604659581,4275.832015531937,AI,[0.001 0.001],0.1,0.01,8551.664031063874,200000.0,42.67751829487255,Zilany2014,Zilany2014,40.0,40.0,40.0,[38.5116759],4.6643940113120435,phase
57,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",14176.707141864697,4725.5690472882325,AI,[0.001 0.001],0.1,0.01,9451.138094576465,200000.0,24.977208172649956,Zilany2014,Zilany2014,40.0,40.0,20.0,[46.37775064],4.103195926042921,phase
58,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",14176.707141864697,4725.5690472882325,AI,[0.001 0.001],0.1,0.01,9451.138094576465,200000.0,34.97720817264995,Zilany2014,Zilany2014,40.0,40.0,30.0,[316.46093966],4.234042587512997,phase
59,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",14176.707141864697,4725.5690472882325,AI,[0.001 0.001],0.1,0.01,9451.138094576465,200000.0,44.97720817264995,Zilany2014,Zilany2014,40.0,40.0,40.0,[76.32616487],3.8668337169588627,phase
60,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",15667.829844276894,5222.609948092298,AI,[0.001 0.001],0.1,0.01,10445.219896184595,200000.0,26.99566586349379,Zilany2014,Zilany2014,40.0,40.0,20.0,[233.2981704],4.250592201315338,phase
61,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",15667.829844276894,5222.609948092298,AI,[0.001 0.001],0.1,0.01,10445.219896184595,200000.0,36.99566586349379,Zilany2014,Zilany2014,40.0,40.0,30.0,[298.02632138],4.157934116333093,phase
62,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",15667.829844276894,5222.609948092298,AI,[0.001 0.001],0.1,0.01,10445.219896184595,200000.0,46.99566586349379,Zilany2014,Zilany2014,40.0,40.0,40.0,[322.98106607],3.5478310439818745,phase
63,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",17315.79058329371,5771.930194431237,AI,[0.001 0.001],0.1,0.01,11543.860388862475,200000.0,28.865164487789535,Zilany2014,Zilany2014,40.0,40.0,20.0,[35.0719425],4.564459461107552,phase
64,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",17315.79058329371,5771.930194431237,AI,[0.001 0.001],0.1,0.01,11543.860388862475,200000.0,38.865164487789535,Zilany2014,Zilany2014,40.0,40.0,30.0,[61.30494172],5.107068344072911,phase
65,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",17315.79058329371,5771.930194431237,AI,[0.001 0.001],0.1,0.01,11543.860388862475,200000.0,48.865164487789535,Zilany2014,Zilany2014,40.0,40.0,40.0,[138.18966178],6.390544305744914,phase
66,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",19137.085767752775,6379.0285892509255,AI,[0.001 0.001],0.1,0.01,12758.057178501851,200000.0,30.73619056988742,Zilany2014,Zilany2014,40.0,40.0,20.0,[75.50385779],5.793183980719245,phase
67,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",19137.085767752775,6379.0285892509255,AI,[0.001 0.001],0.1,0.01,12758.057178501851,200000.0,40.73619056988742,Zilany2014,Zilany2014,40.0,40.0,30.0,[171.4986503],6.45158365581787,phase
68,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",19137.085767752775,6379.0285892509255,AI,[0.001 0.001],0.1,0.01,12758.057178501851,200000.0,50.73619056988742,Zilany2014,Zilany2014,40.0,40.0,40.0,[219.22933504],6.967672870614685,phase
69,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",21149.94691814202,7049.98230604734,AI,[0.001 0.001],0.1,0.01,14099.96461209468,200000.0,32.594091411120644,Zilany2014,Zilany2014,40.0,40.0,20.0,[260.32644832],6.436249132981197,phase
70,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",21149.94691814202,7049.98230604734,AI,[0.001 0.001],0.1,0.01,14099.96461209468,200000.0,42.594091411120644,Zilany2014,Zilany2014,40.0,40.0,30.0,[101.32868198],7.012139384136136,phase
71,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",21149.94691814202,7049.98230604734,AI,[0.001 0.001],0.1,0.01,14099.96461209468,200000.0,52.594091411120644,Zilany2014,Zilany2014,40.0,40.0,40.0,[230.91171973],6.433343634352693,phase
