,API,F0,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,fs,level,model,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
18,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,RP,[0.001],0.1,0.01,200000.0,30.083532269431913,Zilany2014,40.0,40.0,20.0,0.26692546121657207,none
19,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,RP,[0.001],0.1,0.01,200000.0,40.08353226943191,Zilany2014,40.0,40.0,30.0,0.29942602433008514,none
20,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,RP,[0.001],0.1,0.01,200000.0,50.08353226943191,Zilany2014,40.0,40.0,40.0,0.3054695326034099,none
21,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,RP,[0.001],0.1,0.01,200000.0,28.700873207735263,Zilany2014,40.0,40.0,20.0,0.2905791780248181,none
22,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,RP,[0.001],0.1,0.01,200000.0,38.70087320773526,Zilany2014,40.0,40.0,30.0,0.41429775384319095,none
23,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,RP,[0.001],0.1,0.01,200000.0,48.70087320773526,Zilany2014,40.0,40.0,40.0,0.5083552606173897,none
24,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,RP,[0.001],0.1,0.01,200000.0,27.243707257190316,Zilany2014,40.0,40.0,20.0,0.31172201065530414,none
25,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,RP,[0.001],0.1,0.01,200000.0,37.243707257190316,Zilany2014,40.0,40.0,30.0,0.44357191229282045,none
26,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,RP,[0.001],0.1,0.01,200000.0,47.243707257190316,Zilany2014,40.0,40.0,40.0,0.6093808367020368,none
27,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,RP,[0.001],0.1,0.01,200000.0,25.825346609990415,Zilany2014,40.0,40.0,20.0,0.2825111676645595,none
28,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,RP,[0.001],0.1,0.01,200000.0,35.82534660999041,Zilany2014,40.0,40.0,30.0,0.31029859205580007,none
29,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,RP,[0.001],0.1,0.01,200000.0,45.82534660999041,Zilany2014,40.0,40.0,40.0,0.3691310861442133,none
30,[0.],480.27813534169,5283.05948875859,2401.39067670845,RP,[0.001],0.1,0.01,200000.0,24.396579551198933,Zilany2014,40.0,40.0,20.0,0.33367538983303635,none
31,[0.],480.27813534169,5283.05948875859,2401.39067670845,RP,[0.001],0.1,0.01,200000.0,34.39657955119893,Zilany2014,40.0,40.0,30.0,0.4728875858805646,none
32,[0.],480.27813534169,5283.05948875859,2401.39067670845,RP,[0.001],0.1,0.01,200000.0,44.39657955119893,Zilany2014,40.0,40.0,40.0,0.695547565049569,none
33,[0.],530.7943535236503,5838.7378887601535,2653.9717676182518,RP,[0.001],0.1,0.01,200000.0,22.96831848683961,Zilany2014,40.0,40.0,20.0,0.3393586262423089,none
34,[0.],530.7943535236503,5838.7378887601535,2653.9717676182518,RP,[0.001],0.1,0.01,200000.0,32.96831848683961,Zilany2014,40.0,40.0,30.0,0.5025411778976687,none
35,[0.],530.7943535236503,5838.7378887601535,2653.9717676182518,RP,[0.001],0.1,0.01,200000.0,42.96831848683961,Zilany2014,40.0,40.0,40.0,0.7562695603221844,none
36,[0.],586.6239268463596,6452.863195309956,2933.119634231798,RP,[0.001],0.1,0.01,200000.0,21.603993096175458,Zilany2014,40.0,40.0,20.0,0.3442032799370733,none
37,[0.],586.6239268463596,6452.863195309956,2933.119634231798,RP,[0.001],0.1,0.01,200000.0,31.603993096175458,Zilany2014,40.0,40.0,30.0,0.5293115481824182,none
38,[0.],586.6239268463596,6452.863195309956,2933.119634231798,RP,[0.001],0.1,0.01,200000.0,41.60399309617546,Zilany2014,40.0,40.0,40.0,0.8180378127538209,none
39,[0.],648.3257202420679,7131.582922662747,3241.628601210339,RP,[0.001],0.1,0.01,200000.0,20.506141534002488,Zilany2014,40.0,40.0,20.0,0.3562079739160449,none
40,[0.],648.3257202420679,7131.582922662747,3241.628601210339,RP,[0.001],0.1,0.01,200000.0,30.506141534002488,Zilany2014,40.0,40.0,30.0,0.563572722404747,none
41,[0.],648.3257202420679,7131.582922662747,3241.628601210339,RP,[0.001],0.1,0.01,200000.0,40.50614153400249,Zilany2014,40.0,40.0,40.0,0.8426424825115034,none
42,[0.],716.5173807127743,7881.691187840517,3582.5869035638716,RP,[0.001],0.1,0.01,200000.0,19.87458796405344,Zilany2014,40.0,40.0,20.0,0.3815487383432585,none
43,[0.],716.5173807127743,7881.691187840517,3582.5869035638716,RP,[0.001],0.1,0.01,200000.0,29.87458796405344,Zilany2014,40.0,40.0,30.0,0.5832972037785331,none
44,[0.],716.5173807127743,7881.691187840517,3582.5869035638716,RP,[0.001],0.1,0.01,200000.0,39.87458796405344,Zilany2014,40.0,40.0,40.0,0.8999793103778985,none
45,[0.],791.8815200973457,8710.696721070803,3959.407600486729,RP,[0.001],0.1,0.01,200000.0,19.636352236832014,Zilany2014,40.0,40.0,20.0,0.40515429612687975,none
