,API,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,freq,fs,fs_synapse,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
24,[0.],3162.8106403712163,1265.1242561484864,AI,[0.001],0.1,0.01,2108.540426914144,500000.0,250000.0,91.11795854297132,Zilany2014,Zilany2014,40.0,72.0,80.0,0.0052810571834809765,none
25,[0.],3495.478777061525,1398.1915108246098,AI,[0.001],0.1,0.01,2330.3191847076832,500000.0,250000.0,50.99877222435953,Zilany2014,Zilany2014,40.0,72.0,40.0,0.009467912276015423,none
26,[0.],3495.478777061525,1398.1915108246098,AI,[0.001],0.1,0.01,2330.3191847076832,500000.0,250000.0,60.99877222435953,Zilany2014,Zilany2014,40.0,72.0,50.0,0.00785360469355966,none
27,[0.],3495.478777061525,1398.1915108246098,AI,[0.001],0.1,0.01,2330.3191847076832,500000.0,250000.0,70.99877222435953,Zilany2014,Zilany2014,40.0,72.0,60.0,0.007271199681525937,none
28,[0.],3495.478777061525,1398.1915108246098,AI,[0.001],0.1,0.01,2330.3191847076832,500000.0,250000.0,80.99877222435953,Zilany2014,Zilany2014,40.0,72.0,70.0,0.006866136228261877,none
29,[0.],3495.478777061525,1398.1915108246098,AI,[0.001],0.1,0.01,2330.3191847076832,500000.0,250000.0,90.99877222435953,Zilany2014,Zilany2014,40.0,72.0,80.0,0.006658721065877603,none
30,[0.],3863.137338963008,1545.2549355852032,AI,[0.001],0.1,0.01,2575.4248926420055,500000.0,250000.0,50.08353226943191,Zilany2014,Zilany2014,40.0,72.0,40.0,0.012646891625403134,none
31,[0.],3863.137338963008,1545.2549355852032,AI,[0.001],0.1,0.01,2575.4248926420055,500000.0,250000.0,60.08353226943191,Zilany2014,Zilany2014,40.0,72.0,50.0,0.010846698693307967,none
32,[0.],3863.137338963008,1545.2549355852032,AI,[0.001],0.1,0.01,2575.4248926420055,500000.0,250000.0,70.08353226943191,Zilany2014,Zilany2014,40.0,72.0,60.0,0.01100414600519029,none
33,[0.],3863.137338963008,1545.2549355852032,AI,[0.001],0.1,0.01,2575.4248926420055,500000.0,250000.0,80.08353226943191,Zilany2014,Zilany2014,40.0,72.0,70.0,0.011435141118100223,none
34,[0.],3863.137338963008,1545.2549355852032,AI,[0.001],0.1,0.01,2575.4248926420055,500000.0,250000.0,90.08353226943191,Zilany2014,Zilany2014,40.0,72.0,80.0,0.011275649678249894,none
35,[0.],4269.466660082513,1707.7866640330053,AI,[0.001],0.1,0.01,2846.3111067216755,500000.0,250000.0,48.70087320773526,Zilany2014,Zilany2014,40.0,72.0,40.0,0.018294664363890295,none
36,[0.],4269.466660082513,1707.7866640330053,AI,[0.001],0.1,0.01,2846.3111067216755,500000.0,250000.0,58.70087320773526,Zilany2014,Zilany2014,40.0,72.0,50.0,0.015601841193247359,none
