,API,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,freq,fs,fs_synapse,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
55,[0.],6369.5322422838035,2547.8128969135214,RP,[0.001],0.1,0.01,4246.354828189203,500000.0,250000.0,42.96831848683961,Zilany2014,Zilany2014,40.0,72.0,40.0,4.561063933841683,none
56,[0.],6369.5322422838035,2547.8128969135214,RP,[0.001],0.1,0.01,4246.354828189203,500000.0,250000.0,52.96831848683961,Zilany2014,Zilany2014,40.0,72.0,50.0,5.134226055662821,none
57,[0.],6369.5322422838035,2547.8128969135214,RP,[0.001],0.1,0.01,4246.354828189203,500000.0,250000.0,62.96831848683961,Zilany2014,Zilany2014,40.0,72.0,60.0,7.861645323515766,none
58,[0.],6369.5322422838035,2547.8128969135214,RP,[0.001],0.1,0.01,4246.354828189203,500000.0,250000.0,72.9683184868396,Zilany2014,Zilany2014,40.0,72.0,70.0,9.551478426854462,none
59,[0.],6369.5322422838035,2547.8128969135214,RP,[0.001],0.1,0.01,4246.354828189203,500000.0,250000.0,82.9683184868396,Zilany2014,Zilany2014,40.0,72.0,80.0,11.898252812694494,none
60,[0.],7039.487122156315,2815.794848862526,RP,[0.001],0.1,0.01,4692.991414770877,500000.0,250000.0,41.60399309617546,Zilany2014,Zilany2014,40.0,72.0,40.0,4.902867989118771,none
61,[0.],7039.487122156315,2815.794848862526,RP,[0.001],0.1,0.01,4692.991414770877,500000.0,250000.0,51.60399309617546,Zilany2014,Zilany2014,40.0,72.0,50.0,5.543342780520553,none
62,[0.],7039.487122156315,2815.794848862526,RP,[0.001],0.1,0.01,4692.991414770877,500000.0,250000.0,61.60399309617546,Zilany2014,Zilany2014,40.0,72.0,60.0,8.224298540088656,none
63,[0.],7039.487122156315,2815.794848862526,RP,[0.001],0.1,0.01,4692.991414770877,500000.0,250000.0,71.60399309617546,Zilany2014,Zilany2014,40.0,72.0,70.0,9.693801705985566,none
64,[0.],7039.487122156315,2815.794848862526,RP,[0.001],0.1,0.01,4692.991414770877,500000.0,250000.0,81.60399309617546,Zilany2014,Zilany2014,40.0,72.0,80.0,11.62924450477421,none
65,[0.],7779.908642904815,3111.963457161926,RP,[0.001],0.1,0.01,5186.605761936543,500000.0,250000.0,40.50614153400249,Zilany2014,Zilany2014,40.0,72.0,40.0,5.255486395665481,none
66,[0.],7779.908642904815,3111.963457161926,RP,[0.001],0.1,0.01,5186.605761936543,500000.0,250000.0,50.50614153400249,Zilany2014,Zilany2014,40.0,72.0,50.0,5.981030761944753,none
67,[0.],7779.908642904815,3111.963457161926,RP,[0.001],0.1,0.01,5186.605761936543,500000.0,250000.0,60.50614153400249,Zilany2014,Zilany2014,40.0,72.0,60.0,8.59804519200072,none
68,[0.],7779.908642904815,3111.963457161926,RP,[0.001],0.1,0.01,5186.605761936543,500000.0,250000.0,70.50614153400248,Zilany2014,Zilany2014,40.0,72.0,70.0,9.974782025731612,none
69,[0.],7779.908642904815,3111.963457161926,RP,[0.001],0.1,0.01,5186.605761936543,500000.0,250000.0,80.50614153400248,Zilany2014,Zilany2014,40.0,72.0,80.0,11.640248163142521,none
70,[0.],8598.208568553291,3439.2834274213164,RP,[0.001],0.1,0.01,5732.139045702194,500000.0,250000.0,39.87458796405344,Zilany2014,Zilany2014,40.0,72.0,40.0,5.673383482609984,none
71,[0.],8598.208568553291,3439.2834274213164,RP,[0.001],0.1,0.01,5732.139045702194,500000.0,250000.0,49.87458796405344,Zilany2014,Zilany2014,40.0,72.0,50.0,6.58057571653271,none
72,[0.],8598.208568553291,3439.2834274213164,RP,[0.001],0.1,0.01,5732.139045702194,500000.0,250000.0,59.87458796405344,Zilany2014,Zilany2014,40.0,72.0,60.0,8.57246776632941,none
73,[0.],8598.208568553291,3439.2834274213164,RP,[0.001],0.1,0.01,5732.139045702194,500000.0,250000.0,69.87458796405345,Zilany2014,Zilany2014,40.0,72.0,70.0,9.841278794626387,none
74,[0.],8598.208568553291,3439.2834274213164,RP,[0.001],0.1,0.01,5732.139045702194,500000.0,250000.0,79.87458796405345,Zilany2014,Zilany2014,40.0,72.0,80.0,11.127000853378844,none
75,[0.],9502.578241168148,3801.0312964672594,RP,[0.001],0.1,0.01,6335.052160778766,500000.0,250000.0,39.63635223683202,Zilany2014,Zilany2014,40.0,72.0,40.0,6.193771989420816,none
76,[0.],9502.578241168148,3801.0312964672594,RP,[0.001],0.1,0.01,6335.052160778766,500000.0,250000.0,49.63635223683202,Zilany2014,Zilany2014,40.0,72.0,50.0,7.008836284477336,none
77,[0.],9502.578241168148,3801.0312964672594,RP,[0.001],0.1,0.01,6335.052160778766,500000.0,250000.0,59.63635223683202,Zilany2014,Zilany2014,40.0,72.0,60.0,8.905430551568058,none
78,[0.],9502.578241168148,3801.0312964672594,RP,[0.001],0.1,0.01,6335.052160778766,500000.0,250000.0,69.63635223683201,Zilany2014,Zilany2014,40.0,72.0,70.0,10.633014665367282,none
79,[0.],9502.578241168148,3801.0312964672594,RP,[0.001],0.1,0.01,6335.052160778766,500000.0,250000.0,79.63635223683201,Zilany2014,Zilany2014,40.0,72.0,80.0,11.912757108719278,none
80,[0.],10502.070577791961,4200.828231116784,RP,[0.001],0.1,0.01,7001.38038519464,500000.0,250000.0,39.7611214338582,Zilany2014,Zilany2014,40.0,72.0,40.0,6.622015839704151,none
81,[0.],10502.070577791961,4200.828231116784,RP,[0.001],0.1,0.01,7001.38038519464,500000.0,250000.0,49.7611214338582,Zilany2014,Zilany2014,40.0,72.0,50.0,7.444196039941536,none
